run_id,logical_run,tier,role,phase,report_use,audit_pack,raw_bundle_expected,report_sections,notes
run-008b-devnet-relay-serving-leaf1-plus-leaf2-ibd-2026-04-07T23-41-55Z,8b,report,relay,serving-2-leaf,serving-scaling,docs-plus-timeseries,yes,5;6.3,primary relay window
run-008c-devnet-relay-serving-8-leaf-ibd-2026-04-08T03-13-19Z,8c,report,relay,serving-8-leaf,serving-scaling,docs-plus-timeseries,yes,5;6.3;7,primary relay window
run-008a-devnet-leaf1-ibd-2026-04-07T13-41-23Z,8a,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008b-devnet-leaf2-ibd-2026-04-07T23-41-55Z,8b,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008b-devnet-leaf2-synced-downstream-2026-04-07T23-41-55Z,8b,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf1-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf1-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf2-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf2-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf3-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf3-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf4-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf4-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf5-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf5-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf6-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf6-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf7-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf7-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
run-008c-devnet-leaf8-ibd-2026-04-08T03-13-19Z,8c,supporting,leaf,ibd,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream timing evidence
run-008c-devnet-leaf8-synced-downstream-2026-04-08T03-13-19Z,8c,supporting,leaf,synced-downstream,relay-ibd-timing,supporting-docs-only,yes,6.3,downstream completion evidence
